dataset|leaves|leavesNotNormalized|maxBranchingFactor|maxBranchingFactorNotNormalized|maxDepth|maxDepthNotNormalized|meanAspectRatio|meanBranchingFactor|meanBranchingFactorNotNormalized|meanDepth|meanDepthNotNormalized|task|totalInteractions|totalNodes|userid
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|30|4|21
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|22|4|33
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|13|4|37
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|12|4|41
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|17|4|45
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|18|4|57
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|5|4|65
faa1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t2|35|5|69
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|4|4|81
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|10|4|85
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t2|7|4|89
faa1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t2|20|3|93
faa1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t3|9|3|09
faa1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t3|27|6|109
faa1|0.6|3|0.4|2.0|0.4|2.0|0.6666666666666667|0.16|0.8|0.24|1.2|t3|10|5|13
faa1|0.5|2|0.5|2.0|0.5|2.0|0.6|0.1875|0.75|0.3125|1.25|t3|10|4|21
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t3|10|4|33
faa1|0.09090909090909091|1|0.09090909090909091|1.0|0.9090909090909091|10.0|0.18181818181818182|0.08264462809917356|0.9090909090909091|0.45454545454545453|5.0|t3|23|11|37
faa1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t3|12|5|41
faa1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t3|6|3|45
faa1|0.3333333333333333|2|0.3333333333333333|2.0|0.5|3.0|0.5555555555555556|0.1388888888888889|0.8333333333333334|0.25|1.5|t3|13|6|57
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t3|6|4|65
faa1|0.36363636363636365|4|0.36363636363636365|4.0|0.2727272727272727|3.0|0.5263157894736842|0.08264462809917356|0.9090909090909091|0.15702479338842976|1.7272727272727273|t3|34|11|69
faa1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t3|24|3|81
